date,open,high,low,close,volume,average,barCount
2020-06-24 09:17:00,24909.0,24909.0,24857.0,24870.0,73,24887.3,23
2020-06-24 09:18:00,24863.0,24867.0,24856.0,24867.0,62,24859.9,20
2020-06-24 09:19:00,24867.0,24900.0,24859.0,24896.0,40,24875.7,24
2020-06-24 09:20:00,24901.0,24936.0,24891.0,24936.0,99,24903.1,46
2020-06-24 09:21:00,24936.0,24950.0,24929.0,24939.0,189,24944.8,40
2020-06-24 09:22:00,24940.0,24942.0,24925.0,24932.0,41,24934.3,15
2020-06-24 09:23:00,24927.0,24929.0,24912.0,24912.0,137,24920.9,24
2020-06-24 09:24:00,24912.0,24922.0,24907.0,24911.0,55,24912.0,21
2020-06-24 09:25:00,24915.0,24915.0,24893.0,24904.0,47,24903.0,24
2020-06-24 09:26:00,24906.0,24906.0,24880.0,24900.0,249,24894.8,46
2020-06-24 09:27:00,24903.0,24904.0,24894.0,24896.0,66,24898.0,25
2020-06-24 09:28:00,24898.0,24898.0,24873.0,24877.0,65,24890.8,19
2020-06-24 09:29:00,24879.0,24890.0,24872.0,24876.0,52,24880.1,32
2020-06-24 09:30:00,24877.0,24878.0,24836.0,24836.0,251,24850.7,109
2020-06-24 09:31:00,24834.0,24883.0,24823.0,24882.0,183,24839.9,50
2020-06-24 09:32:00,24899.0,24906.0,24873.0,24901.0,118,24893.0,66
2020-06-24 09:33:00,24903.0,24903.0,24847.0,24875.0,209,24867.8,52
2020-06-24 09:34:00,24852.0,24871.0,24845.0,24849.0,329,24863.7,64
2020-06-24 09:35:00,24851.0,24880.0,24849.0,24872.0,130,24869.2,45
2020-06-24 09:36:00,24881.0,24894.0,24869.0,24885.0,119,24882.2,50
2020-06-24 09:37:00,24885.0,24900.0,24873.0,24882.0,140,24884.6,79
2020-06-24 09:38:00,24885.0,24887.0,24855.0,24883.0,104,24869.6,52
2020-06-24 09:39:00,24882.0,24897.0,24866.0,24866.0,186,24884.2,61
2020-06-24 09:40:00,24867.0,24867.0,24844.0,24848.0,104,24853.8,63
2020-06-24 09:41:00,24836.0,24862.0,24823.0,24856.0,95,24842.3,50
2020-06-24 09:42:00,24856.0,24859.0,24829.0,24844.0,571,24845.7,91
2020-06-24 09:43:00,24847.0,24852.0,24798.0,24804.0,280,24842.6,65
2020-06-24 09:44:00,24807.0,24807.0,24769.0,24769.0,92,24781.8,52
2020-06-24 09:45:00,24770.0,24780.0,24756.0,24763.0,134,24768.7,46
2020-06-24 09:46:00,24758.0,24772.0,24747.0,24759.0,822,24761.7,70
2020-06-24 09:47:00,24763.0,24774.0,24747.0,24773.0,120,24756.2,68
2020-06-24 09:48:00,24766.0,24782.0,24757.0,24775.0,121,24775.1,36
2020-06-24 09:49:00,24774.0,24795.0,24774.0,24783.0,107,24786.0,21
2020-06-24 09:50:00,24793.0,24800.0,24782.0,24786.0,149,24788.4,27
2020-06-24 09:51:00,24786.0,24793.0,24782.0,24783.0,56,24786.0,20
2020-06-24 09:52:00,24775.0,24778.0,24766.0,24769.0,83,24770.6,39
2020-06-24 09:53:00,24765.0,24778.0,24760.0,24773.0,49,24770.8,17
2020-06-24 09:54:00,24771.0,24802.0,24771.0,24784.0,67,24788.2,40
2020-06-24 09:55:00,24791.0,24791.0,24776.0,24783.0,537,24783.8,31
2020-06-24 09:56:00,24777.0,24796.0,24769.0,24769.0,63,24780.5,27
2020-06-24 09:57:00,24771.0,24771.0,24746.0,24756.0,124,24753.8,62
2020-06-24 09:58:00,24751.0,24764.0,24738.0,24764.0,57,24751.3,34
2020-06-24 09:59:00,24768.0,24782.0,24768.0,24768.0,47,24773.3,28
2020-06-24 10:00:00,24763.0,24792.0,24758.0,24759.0,50,24772.5,31
2020-06-24 10:01:00,24765.0,24765.0,24725.0,24726.0,82,24744.2,38
2020-06-24 10:02:00,24725.0,24725.0,24704.0,24708.0,126,24713.6,53
2020-06-24 10:03:00,24704.0,24722.0,24696.0,24722.0,74,24712.2,45
2020-06-24 10:04:00,24721.0,24722.0,24699.0,24707.0,681,24703.1,36
2020-06-24 10:05:00,24700.0,24730.0,24692.0,24724.0,134,24698.5,25
2020-06-24 10:06:00,24728.0,24742.0,24727.0,24734.0,57,24733.8,31
2020-06-24 10:07:00,24737.0,24750.0,24737.0,24740.0,59,24742.5,31
2020-06-24 10:08:00,24737.0,24747.0,24721.0,24732.0,50,24732.8,33
2020-06-24 10:09:00,24729.0,24732.0,24718.0,24725.0,239,24726.1,45
2020-06-24 10:10:00,24725.0,24729.0,24724.0,24725.0,301,24727.5,44
2020-06-24 10:11:00,24717.0,24741.0,24711.0,24716.0,107,24727.9,36
2020-06-24 10:12:00,24717.0,24735.0,24712.0,24726.0,78,24719.4,41
2020-06-24 10:13:00,24727.0,24737.0,24702.0,24723.0,49,24715.3,28
2020-06-24 10:14:00,24719.0,24724.0,24708.0,24711.0,82,24713.6,43
2020-06-24 10:15:00,24712.0,24722.0,24707.0,24718.0,49,24714.3,27
2020-06-24 10:16:00,24719.0,24739.0,24708.0,24710.0,54,24723.8,34
2020-06-24 10:17:00,24708.0,24722.0,24700.0,24704.0,37,24709.2,27
2020-06-24 10:18:00,24705.0,24737.0,24698.0,24736.0,93,24716.5,37
2020-06-24 10:19:00,24734.0,24744.0,24729.0,24735.0,445,24738.8,46
2020-06-24 10:20:00,24736.0,24746.0,24721.0,24730.0,59,24736.8,26
2020-06-24 10:21:00,24731.0,24741.0,24706.0,24716.0,53,24724.2,34
2020-06-24 10:22:00,24718.0,24729.0,24706.0,24721.0,30,24718.9,18
